ID,x,y,impact.ssp126.2050,impact.ssp245.2050,impact.ssp370.2050,impact.ssp585.2050,impact.ssp126.2100,impact.ssp245.2100,impact.ssp370.2100,impact.ssp585.2100
D125,47.33934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
D126,47.58934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
D127,47.83934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
D130,48.58934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
D131,48.83934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
D132,49.08934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
D133,49.33934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
D134,49.58934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
D135,49.83934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
D136,50.08934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
D137,50.33934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
D138,50.58934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
D139,50.83934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
D140,51.08934,11.428898,0.3629375439579355,0.39159096742622396,0.4228096295012763,0.3937934573743259,0.35493380225191024,0.37035872312876017,0.4023806921952287,0.39343042887707175
D141,51.33934,11.428898,NA,NA,NA,NA,NA,NA,NA,NA
DA126,47.58934,-13.821102,0.39468216741543416,0.37488061959209495,0.32348598803374096,0.3762428488889713,0.38088407820048453,0.33790913456474236,0.3214454750321349,0.3323680054053998
DA127,47.83934,-13.821102,0.5825349743975569,0.549012841320442,0.4707124282966618,0.545778721566512,0.5635988416450457,0.5200143349590797,0.4880222322778626,0.5018860234954293
DA128,48.08934,-13.821102,0.6061202362236046,0.5755121748835219,0.4566517333932804,0.5642669703922892,0.586536907660727,0.48828699506169077,0.47671255530319373,0.43770099475097896
DA129,48.33934,-13.821102,0.8631296472025951,0.8670800878297582,0.600193697005391,0.867719189959814,0.8657251964356223,0.6287717024169006,0.6916093382684934,0.6079674330191007
DA130,48.58934,-13.821102,0.5699716615082869,0.42933960755139894,0.5174112009231745,0.4491078900587942,0.5653764487519675,0.5859536639452998,0.5227992939083577,0.45474453404107673
DA97,40.33934,-13.821102,0.512356367973929,0.40580066927227926,0.4718852410298832,0.519957315475346,0.5386125980204607,0.5774723058556762,0.4693915285966953,0.523894660024903
DA98,40.58934,-13.821102,0.5716773079956403,0.6201042326017757,0.5247547092471795,0.5834634391228651,0.5687808916525202,0.5630075446040621,0.517775219261288,0.5724070548019344
DA99,40.83934,-13.821102,NA,NA,NA,NA,NA,NA,NA,NA
DB126,47.58934,-14.071102,0.5766819812017628,0.5655446866502079,0.48546316471125317,0.5577485194725542,0.5573287616053021,0.5139807465709876,0.4796435321595202,0.5005801788879952
DB127,47.83934,-14.071102,0.7858073921502504,0.7769232738432043,0.6763643967017084,0.7668231443478294,0.7716721274617578,0.7367406124043508,0.6689675973471749,0.7282000109673494
DB128,48.08934,-14.071102,0.5679858601898368,0.5465842206631903,0.516434772456324,0.49616780963976453,0.5524704763676558,0.6233401738331723,0.5220880401635417,0.4948441617691334
