HH_ID,Sensitivity,Adaptation capacity,Subsistence,Demography,Culture,Health,Learning,Assets,Flexibility,Agency,Organization
MAN20,0.4809902,0.442418198,0.141185,0.0557612,0.131892,0.152152,0.056011958,0.032442879,0.079986833,0.158525,0.115451528
MAN34,0.363225033,0.500035001,0.1640925,0.042691733,0.0803648,0.076076,0.048362194,0.039176414,0.158480167,0.147657143,0.106359083
MAN87,0.4602139,0.376340657,0.1425875,0.053352,0.1881984,0.076076,0.096231667,0.026604879,0.046786667,0.1156,0.091117444
MAN15,0.401759419,0.313074694,0.102164333,0.047888686,0.0234784,0.228228,0.045483792,0.026604879,0.0430795,0.102242857,0.095663667
MAN116,0.6346825,0.419884969,0.125071833,0.109308267,0.1720744,0.228228,0.066160528,0.046898056,0.034307,0.157067857,0.115451528
MAN18,0.3936259,0.372179681,0.1425875,0.0493544,0.049532,0.152152,0.050501514,0.028658873,0.031005833,0.161803571,0.100209889
MAN67,0.4538923,0.445913628,0.1425875,0.0762128,0.08294,0.152152,0.114557917,0.046326505,0.051798833,0.124646429,0.108583944
MAN35,0.7169665,0.32125053,0.1640925,0.1061948,0.2184512,0.228228,0.064154444,0.026604879,0.0025375,0.150571429,0.077382278
MAN115,0.3282776,0.36750173,0.11968,0.0328776,0.099644,0.076076,0.107498917,0.023407782,0.024833667,0.104732143,0.107029222
MAN17,0.6263572,0.340725409,0.088638,0.0257792,0.08294,0.429,0.032569944,0.041846873,0.013514,0.141889286,0.110905306
MAN22,0.4279709,0.365368865,0.1640925,0.0293664,0.08236,0.152152,0.045483792,0.032442879,0.050421333,0.11475,0.122270861
MAN37,0.431714443,0.381728195,0.0900405,0.104033143,0.1615648,0.076076,0.044991069,0.036550868,0.029908667,0.138914286,0.131363306
MAN19,0.6607789,0.332215799,0.1640925,0.113088,0.1553704,0.228228,0.072050569,0.037738884,0.0160515,0.093196429,0.113178417
MAN65,0.5369186,0.381274056,0.102164333,0.099276267,0.08294,0.252538,0.059383083,0.034496873,0.057700333,0.100603571,0.129090194
MAN114,0.587772819,0.382909851,0.112673733,0.107624686,0.1392464,0.228228,0.064893528,0.04427251,0.027028,0.131264286,0.115451528
MAN86,0.4374763,0.41352957,0.1425875,0.0597968,0.08294,0.152152,0.080193056,0.036550868,0.039444833,0.141889286,0.115451528
MAN41,0.636100267,0.324544199,0.123669333,0.019770133,0.0636608,0.429,0.080967333,0.028658873,0.0025375,0.093985714,0.118394778
MAN84,0.5425515,0.424409986,0.1425875,0.0429096,0.2049024,0.152152,0.094092347,0.034496873,0.050421333,0.123128571,0.122270861
MAN64,0.544473133,0.470717794,0.102164333,0.0064448,0.08294,0.352924,0.051486958,0.03843451,0.092340833,0.170060714,0.118394778
MAN83,0.6183598,0.363871632,0.165495,0.0265088,0.198128,0.228228,0.078546458,0.030712868,0.027028,0.1547,0.072884306
NAB177,0.392252233,0.349453154,0.114076233,0.0164768,0.1856232,0.076076,0.080193056,0.024550884,0.022296167,0.113110714,0.109302333
NAB175,0.6439745,0.424295738,0.1210825,0.0762128,0.2184512,0.228228,0.107780472,0.024550884,0.044457,0.131385714,0.116121667
NAB178,0.564392233,0.396469284,0.114076233,0.0364648,0.1856232,0.228228,0.090721222,0.037693971,0.0160515,0.120639286,0.131363306
NAB230,0.329944967,0.480126904,0.107556167,0.0962008,0.050112,0.076076,0.101742111,0.030388884,0.060300667,0.151785714,0.135909528
NAB159,0.5743377,0.373069774,0.1210825,0.0962008,0.2049024,0.152152,0.049101278,0.034496873,0.020029333,0.147171429,0.122270861
NAB224,0.298577633,0.398166357,0.1425875,0.029802133,0.050112,0.076076,0.088581903,0.032442879,0.054065667,0.093985714,0.129090194
NAB156,0.617149967,0.539438501,0.1210825,0.095765067,0.1720744,0.228228,0.060122167,0.039747965,0.163212,0.149539286,0.126817083
NAB154,0.351966171,0.439554417,0.11968,0.030022171,0.050112,0.152152,0.046222875,0.0683247,0.090963333,0.127014286,0.107029222
NAB227,0.3028191,0.43216199,0.107556167,0.036246933,0.08294,0.076076,0.06991125,0.032442879,0.100842667,0.099875,0.129090194
NAD188,0.5543828,0.30425947,0.11968,0.0064448,0.099644,0.328614,0.075421694,0.026604879,0,0.138489286,0.063743611
NAD172,0.382323367,0.403477436,0.107556167,0.0557992,0.066816,0.152152,0.038080389,0.030388884,0.050421333,0.160042857,0.124543972
NAD176,0.3869467,0.400215782,0.1425875,0.0358112,0.132472,0.076076,0.077561014,0.032442879,0.049324167,0.13685,0.104037722
NAD147,0.374403752,0.533147247,0.084648667,0.047888686,0.0897144,0.152152,0.080193056,0.062085901,0.125270333,0.150146429,0.115451528
NAD149,0.374073633,0.427335673,0.1425875,0.029802133,0.049532,0.152152,0.067216361,0.032442879,0.050421333,0.161803571,0.115451528
NAD189,0.289761467,0.39354001,0.084648667,0.0393224,0.0897144,0.076076,0.069664889,0.032442879,0.060300667,0.108860714,0.122270861
NAD169,0.451407333,0.388512285,0.084648667,0.038886667,0.099644,0.228228,0.038080389,0.030388884,0.0430795,0.150146429,0.126817083
NAD174,0.5787011,0.341873423,0.1425875,0.0358112,0.1720744,0.228228,0.038080389,0.032442879,0.0430795,0.101453571,0.126817083
NAD190,0.3480035,0.422901553,0.1425875,0.0229216,0.1064184,0.076076,0.071670972,0.032442879,0.060300667,0.138489286,0.11999775
NAD152,0.416886433,0.453796555,0.1425875,0.049136533,0.0730104,0.152152,0.072050569,0.039577613,0.087265833,0.150146429,0.104756111
NAD150,0.3522615,0.434704146,0.107556167,0.036246933,0.0563064,0.152152,0.042359028,0.030388884,0.087265833,0.150146429,0.124543972
NAD187,0.351069633,0.408139271,0.1425875,0.042691733,0.0897144,0.076076,0.081460056,0.045739596,0.046786667,0.138489286,0.095663667
NDO247,0.351887133,0.416662648,0.102164333,0.0064448,0.066816,0.176462,0.086442583,0.021353787,0.035810167,0.1683,0.104756111
NDO249,0.471300533,0.475257035,0.112673733,0.0064448,0.099644,0.252538,0.086442583,0.035963959,0.071214333,0.170060714,0.111575444
NDO248,0.2909918,0.421115521,0.102164333,0.013107467,0.099644,0.076076,0.086442583,0.021353787,0.049324167,0.150146429,0.113848556
NLV157,0.374877633,0.438048347,0.1425875,0.036246933,0.1199672,0.076076,0.125860361,0.032442879,0.035810167,0.117117857,0.126817083
NLV237,0.512307033,0.285997926,0.125071833,0.0364648,0.1225424,0.228228,0.073036014,0.025499126,0.027028,0.098964286,0.0614705
NLV136,0.4596115,0.34466718,0.1425875,0.0429096,0.1219624,0.152152,0.044991069,0.030388884,0.036907333,0.112382143,0.11999775
NLV181,0.350489633,0.391826534,0.1425875,0.042691733,0.0891344,0.076076,0.040219708,0.028658873,0.060300667,0.160164286,0.102483
NLV204,0.5915824,0.411247385,0.11968,0.0193344,0.099644,0.352924,0.049101278,0.034496873,0.052958833,0.150146429,0.124543972
NLV200,0.3827218,0.387943805,0.141185,0.0064448,0.08294,0.152152,0.06991125,0.030388884,0.050421333,0.108132143,0.129090194
NLV233,0.331926733,0.345945061,0.102164333,0.01444,0.1392464,0.076076,0.080932139,0.021353787,0.035810167,0.103092857,0.104756111
NLV137,0.402694567,0.451766307,0.135581233,0.036246933,0.1547904,0.076076,0.042359028,0.035643037,0.094607667,0.156885714,0.122270861
NLV201,0.289130133,0.392986984,0.123669333,0.0064448,0.08294,0.076076,0.096231667,0.030388884,0.033272667,0.104003571,0.129090194
NLV165,0.432947033,0.488427324,0.125071833,0.0164768,0.1392464,0.152152,0.130991208,0.092874017,0.023393333,0.112078571,0.129090194
NLV202,0.3498938,0.421264585,0.141185,0.0064448,0.050112,0.152152,0.083071458,0.030388884,0.084728333,0.093985714,0.129090194
NLV231,0.3563263,0.35526336,0.107556167,0.029802133,0.066816,0.152152,0.075421694,0.035963959,0.025930833,0.106371429,0.111575444
NLV158,0.343974733,0.438194351,0.102164333,0.0457672,0.1199672,0.076076,0.090721222,0.032442879,0.062838167,0.125375,0.126817083
NLV160,0.4901654,0.557672695,0.098175,0.0766232,0.0871392,0.228228,0.100130708,0.089260363,0.13282,0.106371429,0.129090194
NLV179,0.3637083,0.388684474,0.1425875,0.0293664,0.0396024,0.152152,0.034709264,0.036226884,0.050421333,0.134360714,0.132966278
NLV183,0.4399808,0.439598603,0.11968,0.0393224,0.2049024,0.076076,0.051240597,0.026604879,0.073814667,0.187728571,0.100209889
NLV205,0.4501824,0.395977654,0.11968,0.0193344,0.08294,0.228228,0.049629194,0.030388884,0.027028,0.166660714,0.122270861
NLV155,0.520023367,0.421269942,0.135581233,0.036246933,0.1199672,0.228228,0.136388528,0.032442879,0.0160515,0.116389286,0.11999775
NLV206,0.373294733,0.390476863,0.102164333,0.0193344,0.099644,0.152152,0.055139639,0.032442879,0.025930833,0.150146429,0.126817083
NLV203,0.3993213,0.375832879,0.1640925,0.0762128,0.08294,0.076076,0.06991125,0.032442879,0.046786667,0.099875,0.126817083
NLV182,0.3305014,0.387439147,0.165495,0.0393984,0.049532,0.076076,0.016531333,0.034496873,0.073814667,0.149417857,0.113178417
NLV138,0.416145633,0.445608342,0.1425875,0.042691733,0.1547904,0.076076,0.042359028,0.034496873,0.083631167,0.171942857,0.113178417
NLV134,0.4501687,0.446497611,0.135581233,0.056017067,0.1064184,0.152152,0.051240597,0.032442879,0.125270333,0.149417857,0.088125944
NLV161,0.4807592,0.385938944,0.11968,0.0264328,0.1064184,0.228228,0.060122167,0.061838333,0.027028,0.125375,0.111575444
NLV163,0.605520033,0.400840015,0.1425875,0.029802133,0.2049024,0.228228,0.060122167,0.053631591,0.027028,0.135514286,0.124543972
NLV135,0.406122533,0.511032313,0.112673733,0.0193344,0.1219624,0.152152,0.067560764,0.032442879,0.111756333,0.170182143,0.129090194
NLV180,0.322972633,0.383834496,0.125071833,0.0164768,0.181424,0,0.100032667,0.035068425,0.043152,0.119728571,0.085852833
NLV207,0.306247067,0.425556496,0.084648667,0.0193344,0.050112,0.152152,0.049629194,0.030388884,0.050421333,0.1683,0.126817083
NLV235,0.455515833,0.400961416,0.125071833,0.0229216,0.1553704,0.152152,0.054611722,0.024550884,0.071214333,0.141282143,0.109302333
NLV228,0.327577133,0.389989164,0.102164333,0.0064448,0.066816,0.152152,0.075421694,0.045739596,0.057700333,0.106371429,0.104756111
NLV153,0.500646433,0.412653081,0.1425875,0.042691733,0.0871392,0.228228,0.078053736,0.051747948,0.0160515,0.127014286,0.139785611
NMN253,0.230171067,0.467075391,0.084648667,0.0193344,0.050112,0.076076,0.072050569,0.058394469,0.060300667,0.151785714,0.124543972
NMN265,0.296268167,0.383622229,0.107556167,0.0229216,0.0897144,0.076076,0.058890361,0.009403994,0.046786667,0.150146429,0.118394778
