ID,sea_level_245_2050,sea_level_370_2050,sea_level_585_2050,TC,tc_245_2050,tc_370_2050,tc_585_2050
DM135,0.30419581038867055,0.45738288533587174,0.5578353564260874,6,0.41273128322567415,0.41273128322567415,0.41273128322567415
DM136,0.327212122370654,0.4618534587373409,0.5631151741370417,7,0.4467177551405332,0.4467177551405332,0.4467177551405332
DM137,0.3482688323383978,0.4681317099603022,0.5708349281926347,7,0.4467177551405332,0.4467177551405332,0.4467177551405332
DM89,0.3722072743539719,0.4843032375711224,0.6018303076956905,6,0.41273128322567415,0.41273128322567415,0.41273128322567415
DM90,0.38311957364041116,0.4913899053086738,0.6120585587546149,5,0.3720849079497224,0.3720849079497224,0.3720849079497224
DM91,0.39287797710522404,0.49975239844720115,0.6247952894361795,5,0.3720849079497224,0.3720849079497224,0.3720849079497224
DM92,0.40354756848142637,0.5084240165664708,0.6407025812448255,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DM93,0.4117202710231716,0.5178804409723867,0.6591514330559777,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DM94,0.41673893283223307,0.5244626000902963,0.6705302817058805,11,0.615661472936478,0.615661472936478,0.615661472936478
DM95,0.42105423706707884,0.5298974987639873,0.6792651363699548,11,0.615661472936478,0.615661472936478,0.615661472936478
DN106,0.4045884345432487,0.5261010417655511,0.6259480786942763,19,0.8176440933652277,0.8176440933652277,0.8176440933652277
DN107,0.39432215597015774,0.5175682084126986,0.6137382588834703,19,0.8176440933652277,0.8176440933652277,0.8176440933652277
DN108,0.3857275720090407,0.5078658786033718,0.6037433397800681,19,0.8176440933652277,0.8176440933652277,0.8176440933652277
DN111,0.33958461652370286,0.479492783087399,0.584466720616343,5,0.3720849079497224,0.3720849079497224,0.3720849079497224
DN112,0.3159057417036232,0.4721300820651944,0.5786512150843149,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DN113,0.2928362246892528,0.46564240110109384,0.5723351082852736,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DN114,0.27402124439178976,0.46082077646302894,0.5656871453164855,6,0.41273128322567415,0.41273128322567415,0.41273128322567415
DN133,0.24833371136855184,0.4479572381115825,0.5484555203500244,5,0.3720849079497224,0.3720849079497224,0.3720849079497224
DN134,0.27743173402074184,0.45220489760260496,0.5525773418380341,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DN135,0.3026456264440161,0.45686155908216164,0.557767394572325,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DN136,0.3258480375335685,0.46133740582586663,0.5631843764987693,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DN87,0.3668264971467354,0.4808696359694927,0.5982273545396802,2,0.24370977937394744,0.24370977937394744,0.24370977937394744
