ID,TC,tc_245_2050,tc_370_2050,tc_585_2050
DI121,6,0.412731283,0.412731283,0.412731283
DI122,7,0.446717755,0.446717755,0.446717755
DI123,7,0.446717755,0.446717755,0.446717755
DI124,2,0.243709779,0.243709779,0.243709779
DI134,11,0.615661473,0.615661473,0.615661473
DI135,11,0.615661473,0.615661473,0.615661473
DI136,9,0.524818318,0.524818318,0.524818318
DI137,9,0.524818318,0.524818318,0.524818318
DI138,10,0.559961862,0.559961862,0.559961862
DI153,14,0.706519155,0.706519155,0.706519155
DI154,13,0.67866837,0.67866837,0.67866837
DI155,13,0.67866837,0.67866837,0.67866837
DI95,6,0.412731283,0.412731283,0.412731283
DI96,5,0.372084908,0.372084908,0.372084908
DI97,5,0.372084908,0.372084908,0.372084908
DI98,7,0.446717755,0.446717755,0.446717755
DJ112,11,0.615661473,0.615661473,0.615661473
DJ113,11,0.615661473,0.615661473,0.615661473
DJ114,3,0.279513478,0.279513478,0.279513478
DJ115,3,0.279513478,0.279513478,0.279513478
DJ116,4,0.323185981,0.323185981,0.323185981
DJ117,4,0.323185981,0.323185981,0.323185981
DJ118,4,0.323185981,0.323185981,0.323185981
DJ119,4,0.323185981,0.323185981,0.323185981
DJ120,6,0.412731283,0.412731283,0.412731283
DJ121,6,0.412731283,0.412731283,0.412731283
DJ122,2,0.243709779,0.243709779,0.243709779
DJ133,1,0.207377029,0.207377029,0.207377029
DJ134,4,0.323185981,0.323185981,0.323185981
DJ135,4,0.323185981,0.323185981,0.323185981
DJ136,4,0.323185981,0.323185981,0.323185981
DJ137,4,0.323185981,0.323185981,0.323185981
DJ138,5,0.372084908,0.372084908,0.372084908
DJ153,12,0.66177566,0.66177566,0.66177566
DJ154,10,0.559961862,0.559961862,0.559961862
DJ155,10,0.559961862,0.559961862,0.559961862
DJ94,8,0.485455727,0.485455727,0.485455727
DJ95,8,0.485455727,0.485455727,0.485455727
DJ96,8,0.485455727,0.485455727,0.485455727
DJ97,8,0.485455727,0.485455727,0.485455727
DK112,11,0.615661473,0.615661473,0.615661473
DK113,11,0.615661473,0.615661473,0.615661473
DK114,3,0.279513478,0.279513478,0.279513478
DK115,3,0.279513478,0.279513478,0.279513478
DK116,4,0.323185981,0.323185981,0.323185981
DK117,4,0.323185981,0.323185981,0.323185981
DK118,4,0.323185981,0.323185981,0.323185981
DK119,4,0.323185981,0.323185981,0.323185981
DK121,6,0.412731283,0.412731283,0.412731283
DK134,4,0.323185981,0.323185981,0.323185981
DK135,4,0.323185981,0.323185981,0.323185981
DK136,4,0.323185981,0.323185981,0.323185981
DK137,4,0.323185981,0.323185981,0.323185981
DK93,3,0.279513478,0.279513478,0.279513478
DK94,8,0.485455727,0.485455727,0.485455727
DK95,8,0.485455727,0.485455727,0.485455727
DK96,8,0.485455727,0.485455727,0.485455727
DK97,8,0.485455727,0.485455727,0.485455727
DL112,10,0.559961862,0.559961862,0.559961862
DL113,10,0.559961862,0.559961862,0.559961862
DL114,10,0.559961862,0.559961862,0.559961862
DL115,10,0.559961862,0.559961862,0.559961862
DL134,6,0.412731283,0.412731283,0.412731283
DL135,6,0.412731283,0.412731283,0.412731283
DL136,7,0.446717755,0.446717755,0.446717755
DL137,7,0.446717755,0.446717755,0.446717755
DL92,8,0.485455727,0.485455727,0.485455727
DL93,8,0.485455727,0.485455727,0.485455727
DL94,11,0.615661473,0.615661473,0.615661473
DL95,11,0.615661473,0.615661473,0.615661473
DL96,8,0.485455727,0.485455727,0.485455727
DM106,7,0.446717755,0.446717755,0.446717755
DM107,7,0.446717755,0.446717755,0.446717755
DM112,10,0.559961862,0.559961862,0.559961862
DM113,10,0.559961862,0.559961862,0.559961862
DM114,10,0.559961862,0.559961862,0.559961862
DM133,3,0.279513478,0.279513478,0.279513478
DM134,6,0.412731283,0.412731283,0.412731283
DM135,6,0.412731283,0.412731283,0.412731283
DM136,7,0.446717755,0.446717755,0.446717755
DM137,7,0.446717755,0.446717755,0.446717755
DM89,6,0.412731283,0.412731283,0.412731283
DM90,5,0.372084908,0.372084908,0.372084908
DM91,5,0.372084908,0.372084908,0.372084908
DM92,8,0.485455727,0.485455727,0.485455727
DM93,8,0.485455727,0.485455727,0.485455727
DM94,11,0.615661473,0.615661473,0.615661473
DM95,11,0.615661473,0.615661473,0.615661473
DN106,19,0.817644093,0.817644093,0.817644093
DN107,19,0.817644093,0.817644093,0.817644093
DN108,19,0.817644093,0.817644093,0.817644093
DN111,5,0.372084908,0.372084908,0.372084908
DN112,8,0.485455727,0.485455727,0.485455727
DN113,8,0.485455727,0.485455727,0.485455727
DN114,6,0.412731283,0.412731283,0.412731283
DN133,5,0.372084908,0.372084908,0.372084908
DN134,8,0.485455727,0.485455727,0.485455727
DN135,8,0.485455727,0.485455727,0.485455727
DN136,8,0.485455727,0.485455727,0.485455727
DN87,2,0.243709779,0.243709779,0.243709779
DN88,6,0.412731283,0.412731283,0.412731283
DN89,6,0.412731283,0.412731283,0.412731283
DN90,5,0.372084908,0.372084908,0.372084908
DN91,5,0.372084908,0.372084908,0.372084908
DN92,8,0.485455727,0.485455727,0.485455727
DN93,8,0.485455727,0.485455727,0.485455727
DO106,19,0.817644093,0.817644093,0.817644093
DO107,19,0.817644093,0.817644093,0.817644093
DO110,5,0.372084908,0.372084908,0.372084908
DO111,5,0.372084908,0.372084908,0.372084908
DO112,8,0.485455727,0.485455727,0.485455727
DO113,8,0.485455727,0.485455727,0.485455727
DO133,5,0.372084908,0.372084908,0.372084908
DO134,8,0.485455727,0.485455727,0.485455727
DO135,8,0.485455727,0.485455727,0.485455727
