src,nbr,src_x,src_y,nbr_x,nbr_y,EucDist
BK95,BH95,3988664.5459936955,-410548.3365296979,3990322.5417333147,-317862.09257020254,92701.07210378788
BK96,BH95,4013694.231175273,-410548.33652969793,3990322.5417333147,-317862.09257020254,95587.52892867588
BO94,BH95,3960785.341904585,-534086.9912775034,3990322.5417333147,-317862.09257020254,218233.0245281517
BP93,BH95,3934949.91904119,-564962.4706218361,3990322.5417333147,-317862.09257020254,253228.60063007235
BQ92,BH95,3909078.9103666004,-595833.8245278371,3990322.5417333147,-317862.09257020254,289601.12466145155
BR92,BH95,3908168.297188433,-626700.8270671035,3990322.5417333147,-317862.09257020254,319578.9164234517
BR94,BH95,3958158.5030009835,-626700.8270671034,3990322.5417333147,-317862.09257020254,310509.08088689146
BR95,BH95,3983153.6059072586,-626700.8270671035,3990322.5417333147,-317862.09257020254,308921.9279470549
DC127,BH95,4702040.822193813,-1763649.9654936127,3990322.5417333147,-317862.09257020254,1611473.0789665852
DC128,BH95,4726612.862842023,-1763649.9654936127,3990322.5417333147,-317862.09257020254,1622475.2726777575
DH123,BH95,4587211.427598146,-1916182.9581291282,3990322.5417333147,-317862.09257020254,1706137.7234414555
DH124,BH95,4611695.181178133,-1916182.9581291277,3990322.5417333147,-317862.09257020254,1714856.7130613716
DH125,BH95,4636178.93475812,-1916182.958129128,3990322.5417333147,-317862.09257020254,1723879.366339781
DI123,BH95,4583735.819523033,-1946648.0331493157,3990322.5417333147,-317862.09257020254,1733517.5102909468
ET70,BH95,3166536.246336458,-3061784.023094869,3990322.5417333147,-317862.09257020254,2864913.8593154754
EW66,BH95,3060416.50042287,-3150977.3855284094,3990322.5417333147,-317862.09257020254,2981822.8500129464
EX67,BH95,3079833.897776967,-3180661.2325394778,3990322.5417333147,-317862.09257020254,3004098.614656698
BF100,BH96,4116421.103968294,-256059.28990770542,4015362.631177,-317862.09257020254,118458.43718304024
BF101,BH96,4141466.6578159924,-256059.28990770527,4015362.631177,-317862.09257020254,140434.3688400647
BG99,BH96,4090953.2652706616,-286961.7381616283,4015362.631177,-317862.09257020254,81662.57322211539
BK95,BH96,3988664.5459936955,-410548.3365296979,4015362.631177,-317862.09257020254,96454.7954835531
BK96,BH96,4013694.231175273,-410548.33652969793,4015362.631177,-317862.09257020254,92701.25877184655
BO94,BH96,3960785.341904585,-534086.9912775034,4015362.631177,-317862.09257020254,223006.47372959243
BP93,BH96,3934949.91904119,-564962.4706218361,4015362.631177,-317862.09257020254,259855.3465031976
BQ92,BH96,3909078.9103666004,-595833.8245278371,4015362.631177,-317862.09257020254,297597.9050276227
BR92,BH96,3908168.297188433,-626700.8270671035,4015362.631177,-317862.09257020254,326912.8158468243
BR94,BH96,3958158.5030009835,-626700.8270671034,4015362.631177,-317862.09257020254,314091.8276651357
BR95,BH96,3983153.6059072586,-626700.8270671035,4015362.631177,-317862.09257020254,310513.74403474334
DC127,BH96,4702040.822193813,-1763649.9654936127,4015362.631177,-317862.09257020254,1600571.6202377577
DC128,BH96,4726612.862842023,-1763649.9654936127,4015362.631177,-317862.09257020254,1611266.4166846985
DH123,BH96,4587211.427598146,-1916182.9581291282,4015362.631177,-317862.09257020254,1697539.5828225468
DH124,BH96,4611695.181178133,-1916182.9581291277,4015362.631177,-317862.09257020254,1705943.170059274
DH125,BH96,4636178.93475812,-1916182.958129128,4015362.631177,-317862.09257020254,1714655.205011538
DI123,BH96,4583735.819523033,-1946648.0331493157,4015362.631177,-317862.09257020254,1725106.2928001918
ET70,BH96,3166536.246336458,-3061784.023094869,4015362.631177,-317862.09257020254,2872214.092371193
EW66,BH96,3060416.50042287,-3150977.3855284094,4015362.631177,-317862.09257020254,2989726.471742181
EX67,BH96,3079833.897776967,-3180661.2325394778,4015362.631177,-317862.09257020254,3011782.3505070703
BF100,BH97,4116421.103968294,-256059.28990770542,4040402.720620684,-317862.0925702024,97971.32755925959
BF101,BH97,4141466.6578159924,-256059.28990770527,4040402.720620684,-317862.0925702024,118463.0989732956
BG99,BH97,4090953.2652706616,-286961.7381616283,4040402.720620684,-317862.0925702024,59246.85195843637
BK95,BH97,3988664.5459936955,-410548.3365296979,4040402.720620684,-317862.0925702024,106148.85083246003
BK96,BH97,4013694.231175273,-410548.33652969793,4040402.720620684,-317862.0925702024,96457.67583647624
BO94,BH97,3960785.341904585,-534086.9912775034,4040402.720620684,-317862.0925702024,230417.30363539394
BP93,BH97,3934949.91904119,-564962.4706218361,4040402.720620684,-317862.0925702024,268661.2926981191
BQ92,BH97,3909078.9103666004,-595833.8245278371,4040402.720620684,-317862.0925702024,307431.66217417753
BR92,BH97,3908168.297188433,-626700.8270671035,4040402.720620684,-317862.0925702024,335957.29887309665
BR94,BH97,3958158.5030009835,-626700.8270671034,4040402.720620684,-317862.0925702024,319602.0576553347
BR95,BH97,3983153.6059072586,-626700.8270671035,4040402.720620684,-317862.0925702024,314100.0239750361
DC127,BH97,4702040.822193813,-1763649.9654936127,4040402.720620684,-317862.0925702024,1589989.7958621285
DC128,BH97,4726612.862842023,-1763649.9654936127,4040402.720620684,-317862.0925702024,1600370.8735102091
DH123,BH97,4587211.427598146,-1916182.9581291282,4040402.720620684,-317862.0925702024,1689268.8807017661
DH124,BH97,4611695.181178133,-1916182.9581291277,4040402.720620684,-317862.0925702024,1697352.2512344976
DH125,BH97,4636178.93475812,-1916182.958129128,4040402.720620684,-317862.0925702024,1705748.7759377023
DI123,BH97,4583735.819523033,-1946648.0331493157,4040402.720620684,-317862.0925702024,1717019.072867572
ET70,BH97,3166536.246336458,-3061784.023094869,4040402.720620684,-317862.0925702024,2879713.5579241486
EW66,BH97,3060416.50042287,-3150977.3855284094,4040402.720620684,-317862.0925702024,2997818.415943712
EX67,BH97,3079833.897776967,-3180661.2325394778,4040402.720620684,-317862.0925702024,3019654.182059294
BF100,BH98,4116421.103968294,-256059.28990770542,4065442.810064369,-317862.0925702026,80114.74811977209
BF101,BH98,4141466.6578159924,-256059.28990770527,4065442.810064369,-317862.0925702026,97975.56758652443
BG99,BH98,4090953.2652706616,-286961.7381616283,4065442.810064369,-317862.0925702026,40070.128866872416
BK95,BH98,3988664.5459936955,-410548.3365296979,4065442.810064369,-317862.0925702026,120356.31123055048
BK96,BH98,4013694.231175273,-410548.33652969793,4065442.810064369,-317862.0925702026,106153.92237859157
BO94,BH98,3960785.341904585,-534086.9912775034,4065442.810064369,-317862.0925702026,240221.5487057702
BP93,BH98,3934949.91904119,-564962.4706218361,4065442.810064369,-317862.0925702026,279440.4971382056
BQ92,BH98,3909078.9103666004,-595833.8245278371,4065442.810064369,-317862.0925702026,318932.5209134698
BR92,BH98,3908168.297188433,-626700.8270671035,4065442.810064369,-317862.0925702026,346578.47066142206
BR94,BH98,3958158.5030009835,-626700.8270671034,4065442.810064369,-317862.0925702026,326942.32896295015
BR95,BH98,3983153.6059072586,-626700.8270671035,4065442.810064369,-317862.0925702026,319613.63714093587
